"X","airq","vala","rain","coas","dens","medi"
1,104,1734.4,12.63,"yes",1815.86,4397
2,85,8479.2,47.14,"yes",804.86,5667
5,84,3093.6,34.55,"yes",340.93,6250
6,135,1849.8,14.81,"no",335.52,4705
7,88,6179.4,45.94,"yes",315.78,7165
8,118,1825.3,39.25,"no",360.39,4472
9,74,1099.2,42.36,"yes",12957.5,2658
11,64,2219,59.76,"yes",620.96,5160
12,75,992.9,53.9,"yes",529.62,3738
15,84,1296.9,37.18,"yes",276.44,3944
16,165,7157.3,36.14,"yes",787.47,9281
17,80,2185.2,12.63,"yes",318.63,5012
19,110,986.2,35.35,"no",750.28,2509
20,120,922,35.08,"yes",325.36,2627
21,118,6476.2,43.05,"yes",916.78,8019
22,120,823.8,68.13,"yes",271.59,2425
23,120,151.6,35.35,"no",645.83,1364
24,59,1896.3,18.69,"yes",819.23,4155
25,74,7608.6,42.36,"yes",2649.07,8947
26,124,2700,29.51,"no",9642.86,5952
27,69,1395.5,42.92,"yes",1105.55,4146
28,118,1022.8,41.32,"no",910.79,3207
29,129,515.4,31.22,"no",379.58,853
30,129,878.9,30.95,"no",455.92,853
